ID,CODE,VALUE
420,"PZet","Entic Podzol"
421,"PZetkk","Akroskeletic Entic Podzol"
422,"PZetle","Leptic Entic Podzol"
423,"PZetlesk","Skeletic Leptic Entic Podzol"
424,"PZetsk","Skeletic Entic Podzol"
425,"PZetskkk","Akroskeletic Skeletic Entic Podzol"
426,"PZgl","Gleyic Podzol"
427,"PZglkk","Akroskeletic Gleyic Podzol"
428,"PZglsk","Skeletic Gleyic Podzol"
429,"PZleglsk","Skeletic Gleyic Leptic Podzol"
430,"PZrs","Rustic Podzol"
431,"PZrsle","Leptic Rustic Podzol"
432,"PZrssk","Skeletic Rustic Podzol"
433,"RG","Regosol"
434,"RGca","Calcaric Regosol"
435,"RGcakk","Skeletic Calcaric Regosol"
436,"RGdy","Dystric Regosol"
437,"RGeu","Eutric Regosol"
438,"RGgp","Gypsiric Regosol"
439,"RGkk","Akroskeletic Regosol"
440,"RGkkca","Calcaric Akroskeletic Regosol"
441,"RGkkdy","Dystric Akroskeletic Regosol"
442,"RGkkeu","Eutric Akroskeletic Regosol"
443,"RGleca","Calcaric Leptic Regosol"
444,"RGledy","Dystric Leptic Regosol"
445,"RGleeu","Eutric Leptic Regosol"
446,"RGlekkeu","Eutric Akroskeletic Leptic Regosol"
447,"RGleskeu","Eutric Skeletic Leptic Regosol"
448,"RGlpca","Calcaric Leptic Regosol"
449,"RGskca","Calcaric Skeletic Regosol"
450,"RGskdy","Dystric Skeletic Regosol"
451,"RGskeu","Eutric Skeletic Regosol"
452,"RT","Retisol"
453,"RTdy","Dystric Retisol"
454,"RTeu","Eutric Retisol"
455,"RTfggl","Gleyic Fragic Retisol"
456,"RTgl","Gleyic Retisol"
457,"RTglkk","Akroskeletic Gleyic Retisol"
458,"RTkkdy","Dystric Akroskeletic Retisol"
459,"RTkkeu","Eutric Akroskeletic Retisol"
460,"RTleeu","Eutric Leptic Retisol"
461,"RTskdy","Dystric Skeletic Retisol"
462,"SC","Solonchak"
463,"SCcc","Calcic Solonchak"
464,"SCcckk","Akroskeletic Calcic Solonchak"
465,"SCccle","Leptic Calcic Solonchak"
466,"SCccqs","Protosodic Calcic Solonchak"
467,"SCccsk","Skeletic Calcic Solonchak"
468,"SCccso","Sodic Calcic Solonchak"
469,"SCccsokk","Akroskeletic Sodic Calcic Solonchak"
470,"SCccye","Yermic Calcic Solonchak"
471,"SCfv","Fluvic Solonchak"
472,"SCfvqs","Protosodic Fluvic Solonchak"
473,"SCgl","Gleyic Solonchak"
474,"SCgl","Gleyic Solonchak"
475,"SCglkk","Akroskeletic Gleyic Solonchak"
476,"SCglle","Leptic Gleyic Solonchak"
477,"SCgy","Gypsic Solonchak"
478,"SCgyye","Yermic Gypsic Solonchak"
479,"SCha","Haplic Solonchak"
480,"SCjz","Hypersalic Solonchak"
481,"SCkk","Akroskeletic Solonchak"
482,"SCle","Leptic Solonchak"
483,"SCleglkk","Akroskeletic Gleyic Leptic Solonchak"
484,"SCmo","Mollic Solonchak"
485,"SCsk","Skeletic Solonchak"
486,"SCso","Sodic Solonchak"
487,"SCsole","Leptic Sodic Solonchak"
488,"SN","Solonetz"
489,"SNca","Calcaric Solonetz"
490,"SNcask","Skeletic Calcaric Solonetz"
491,"SNcc","Calcic Solonetz"
492,"SNcckk","Akroskeletic Calcic Solonetz"
493,"SNducc","Calcic Duric Solonetz"
494,"SNgl","Gleyic Solonetz"
495,"SNglkk","Akroskeletic Gleyic Solonetz"
496,"SNgy","Gypsic Solonetz"
497,"SNha","Haplic Solonetz"
498,"SNhask","Skeletic Solonetz"
499,"SNkk","Akroskeletic Solonetz"
500,"SNmo","Mollic Solonetz"
501,"SNmokk","Akroskeletic Mollic Solonetz"
502,"SNskcc","Calcic Skeletic Solonetz"
503,"SNst","Stagnic Solonetz"
504,"SNstdu","Duric Stagnic Solonetz"
505,"SNstkk","Akroskeletic Stagnic Solonetz"
506,"STal","Alic Stagnosol"
507,"STlelv","Luvic Leptic Stagnosol"
508,"STlv","Luvic Stagnosol"
509,"STlvsk","Skeletic Luvic Stagnosol"
510,"STlx","Lixic Stagnosol"
511,"STmo","Mollic Stagnosol"
512,"STrt","Retic Stagnosol"
513,"TC","Technosol"
514,"UMac","Acric Umbrisol"
515,"UMackk","Akroskeletic Acric Umbrisol"
516,"UMal","Alic Umbrisol"
517,"UMalkk","Akroskeletic Alic Umbrisol"
518,"UMcm","Cambic Umbrisol"
519,"UMcmkk","Akroskeletic Cambic Umbrisol"
520,"UMcmsk","Skeletic Cambic Umbrisol"
521,"UMcmskkk","Akroskeletic Skeletic Cambic Umbrisol"
522,"UMfv","Fluvic Umbrisol"
523,"UMfvkk","Akroskeletic Fluvic Umbrisol"
524,"UMha","Haplic Umbrisol"
525,"UMleac","Acric Leptic Umbrisol"
526,"UMleal","Alic Leptic Umbrisol"
527,"UMlecm","Cambic Leptic Umbrisol"
528,"UMlecmsk","Skeletic Cambic Leptic Umbrisol"
529,"UMlefgcm","Cambic Fragic Leptic Umbrisol"
530,"UMlekkcm","Cambic Akroskeletic Leptic Umbrisol"
531,"VR","Vertisol"
532,"VRcc","Calcic Vertisol"
533,"VRcckk","Akroskeletic Calcic Vertisols"
534,"VRccqs","Protosodic Calcic Vertisols"
535,"VRccta","Takyric Calcic Vertisol"
536,"VReu","Eutric Vertisol"
537,"VRgy","Gypsic Vertisol"
538,"VRha","Haplic Vertisol"
539,"VRkk","Akroskeletic Vertisol"
540,"VRle","Leptic Vertisol"
541,"VRlecc","Calcic Leptic Vertisol"
542,"VRsk","Skeletic Vertisol"
543,"ND","No Data"
544,"WR","Inland open water"
545,"IS","Small Islands"
546,"CRlp","Leptic Cryosol"
547,"CRra","Reducqauic Cryosol"
548,"PHfv","Fluvic Phaeozem"
549,"PHgz","Greyzemic phaeozem"
550,"HScrli","Lithic Cryic Histosol"
551,"CRarsk","Skeletic Reducaquic Cryosol "
552,"GYlelv","Luvic Leptic Gypsisol"
553,"GYlelvkk","Akroskeletic Luvic Leptic Gyspsisol"
554,"GYlv","Luvic Gypsisol"
555,"HScrle","Leptic Cryic Histosol"
556,"UMleskcm","Cambic Skeletic Leptic Umbrisol"
